Estado,MejorAccion,ValorQ
1,1,0
2,2,-0.1527333
3,2,-3.10539634851748
4,1,-5.55086928899264
5,1,0
6,1,0
7,1,0
8,1,-0.97986220486651
9,1,-12.8752380078045
10,3,-8.33046537003922
11,2,-0.660597356653094
12,1,0
13,1,0
14,3,-10.0080256137596
15,1,12.5994245160206
16,1,50.5040417491177
17,3,22.485811283794
18,1,0
19,3,0
20,3,143.864932044153
21,3,2042.93207552093
22,3,2138.53633542382
23,2,361.994005481966
24,1,0
25,1,-0.541
26,1,1925.52331961946
27,3,939.400702380342
28,2,1005.15349159145
29,3,2233.53105368742
30,1,5.54500011449731
31,2,0
32,1,298.237068298966
33,1,1398.84470378644
34,3,1075.39082345862
35,3,2325.41260308359
36,2,104.875911729829
37,1,0
38,1,-19.1272689009348
39,1,1251.61490890951
40,1,1159.24862940171
41,3,2416.18127377162
42,3,10.9304427463899
43,1,0
44,3,-16.4098653860035
45,1,-36.7604551488284
46,1,-32.6392348099026
47,3,2505.94969762899
48,1,3.12180108180063
49,1,0
50,1,-1.97174402136628
51,1,-16.6387760444335
52,3,2684.47166128854
53,1,2597.47249235877
54,1,0
55,1,0
56,1,0
57,3,-4.79583057051043
58,3,2777.7608365798
59,1,146.699298815359
60,1,0
